,mean reward,xl,method
880,-78360,90.0,Supervisory
881,-11430,90.0,Supervisory
882,186660,90.0,Supervisory
883,172530,90.0,Supervisory
884,203140,90.0,Supervisory
885,60,90.0,Supervisory
886,203650,90.0,Supervisory
887,-158560,90.0,Supervisory
888,120400,90.0,Supervisory
889,321000,90.0,Supervisory
890,81060,90.0,Supervisory
891,-16490,90.0,Supervisory
892,5040,90.0,Supervisory
893,131030,90.0,Supervisory
894,174030,90.0,Supervisory
895,426570,90.0,Supervisory
896,70290,90.0,Supervisory
897,156330,90.0,Supervisory
898,30530,90.0,Supervisory
899,193360,90.0,Supervisory
